Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
71,Ips typographus,Fungi,Beauveria bassiana,Slovakia,pathogen,laboratory,,,cuticular contact,field-collected,,virulence test,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
72,Ips typographus,Fungi,Beauveria pseudobassiana,Slovakia,pathogen,laboratory,,,cuticular contact,field-collected,,virulence test,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
73,Ips typographus,Fungi,Lecanicillium lecanii,Slovakia,,,,,,field-collected,,,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
74,Ips typographus,Fungi,Isaria farinosa,Slovakia,,,,,,field-collected,,,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
75,Ips typographus,Fungi,Beauveria bassiana,Slovakia,pathogen,laboratory and field,,,cuticular contact,field-collected,,virulence test,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). The potential of Beauveria bassiana inoculum formulated into a polymeric matrix for a microbial control of spruce bark beetle. Biocontrol Science and Technology, 28(7), 718-735."
76,Ips typographus,Fungi,Beauveria bassiana,Bulgaria,pathogen,laboratory,,,cuticular contact,field-collected and laboratory cultivated,,virulence test,"Barta et al., 2020",2020,full text,"Barta, M., Takov, D., Pilarska, D., Doychev, D., & Horáková, M. K. (2020). Entomopathogenic fungi of the genus Beauveria and their pathogenicity to Ips typographus (Coleoptera: Curculionidae) in the Vitosha National Park, Bulgaria. Journal of Forest Science, 66(10), 420."
77,Ips typographus,Fungi,Beauveria caledonica,Bulgaria,pathogen,laboratory,,,cuticular contact,field-collected and laboratory cultivated,,virulence test,"Barta et al., 2020",2020,full text,"Barta, M., Takov, D., Pilarska, D., Doychev, D., & Horáková, M. K. (2020). Entomopathogenic fungi of the genus Beauveria and their pathogenicity to Ips typographus (Coleoptera: Curculionidae) in the Vitosha National Park, Bulgaria. Journal of Forest Science, 66(10), 420."
78,Dendroctonus micans,Fungi,Metarhizium anisopliae,Turkey,pathogen,laboratory,,morphological and molecular,cuticular contact,isolated from cadaver,,virulence test,"Biryol et al., 2024",2024,full text,"Biryol, S., Soydinç, A., & İşık, S. (2024). Morphological, molecular identification and virulence of entomopathogenic fungi isolated from Dendroctonus micans (Kugelann, 1794)(Coleoptera: Curculionidae). Sakarya University Journal of Science, 28(2), 381-391."
79,Dendroctonus micans,Fungi,Metarhizium robertsii,Turkey,pathogen,laboratory,,morphological and molecular,cuticular contact,isolated from cadaver,,virulence test,"Biryol et al., 2024",2024,full text,"Biryol, S., Soydinç, A., & İşık, S. (2024). Morphological, molecular identification and virulence of entomopathogenic fungi isolated from Dendroctonus micans (Kugelann, 1794)(Coleoptera: Curculionidae). Sakarya University Journal of Science, 28(2), 381-391."
80,Dendroctonus micans,Fungi,Metarhizium pinghaense,Turkey,pathogen,laboratory,,morphological and molecular,cuticular contact,isolated from cadaver,,virulence test,"Biryol et al., 2024",2024,full text,"Biryol, S., Soydinç, A., & İşık, S. (2024). Morphological, molecular identification and virulence of entomopathogenic fungi isolated from Dendroctonus micans (Kugelann, 1794)(Coleoptera: Curculionidae). Sakarya University Journal of Science, 28(2), 381-391."
